model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
gpt-3.5-turbo-16k-0613,proofwriter,baseline,8,0.4321333333333333,0.06454717482413756,0.027423917605306988,0
gpt-3.5-turbo-16k-0613,proofwriter,scratchpad,8,0.34758333333333324,0.06086409039819786,0.02585909925182285,0
gpt-3.5-turbo-16k-0613,proofwriter,cot,8,0.39690000000000003,0.06314314425705032,0.026827392370979704,0
gpt-3.5-turbo-16k-0613,proofwriter,neurosymbolic,8,0.9682499999999997,0.022185925217979473,0.00942605136217131,0
