model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
gpt-3.5-turbo-16k-0613,proofwriter,baseline,8,0.44651666666666673,0.06566184203934582,0.027897502110755815,0
gpt-3.5-turbo-16k-0613,proofwriter,scratchpad,8,0.4480666666666667,0.06465838434933761,0.027471166781809615,0
gpt-3.5-turbo-16k-0613,proofwriter,cot,8,0.59945,0.06401369428142352,0.027197259715363936,0
gpt-3.5-turbo-16k-0613,proofwriter,neurosymbolic,8,0.9837999999999998,0.015927055946128622,0.006766868900951655,0
