model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
gpt-3.5-turbo-16k-0613,proofwriter,baseline,8,0.32126666666666664,0.06262282154117442,0.02660632479788719,0
gpt-3.5-turbo-16k-0613,proofwriter,scratchpad,8,0.2495333333333333,0.05632548268767876,0.0239307979088872,0
gpt-3.5-turbo-16k-0613,proofwriter,cot,8,0.53355,0.06411541459656085,0.027240477246552753,0
gpt-3.5-turbo-16k-0613,proofwriter,neurosymbolic,8,0.9841499999999999,0.015851734920821765,0.006734867537645046,0
