model,task,mode,nshot,kmaj,accuracy_kmaj,accuracy_kmaj_std,accuracy_kmaj_ci
starcoderplus,folio,baseline,1,1,0.33625824175824176,0.03149621888623992,0.03277829067960351
starcoderplus,folio,baseline,1,2,0.33540109890109887,0.032074526317589884,0.03338013844918595
starcoderplus,folio,baseline,1,3,0.33639560439560434,0.03054758473233373,0.031791041824188626
starcoderplus,folio,baseline,1,4,0.3354120879120878,0.030512555295691385,0.03175458649408209
starcoderplus,folio,baseline,1,5,0.33484065934065926,0.02828977777193915,0.029441329526545882
starcoderplus,folio,baseline,1,6,0.33615384615384614,0.028754485429493222,0.029924953377883787
starcoderplus,folio,baseline,1,7,0.33497802197802196,0.027890687911293933,0.029025994482464564
starcoderplus,folio,baseline,1,8,0.3353406593406593,0.02775186339671803,0.028881519035787635
starcoderplus,folio,baseline,1,9,0.33549450549450544,0.02708540433747709,0.028187931375352672
starcoderplus,folio,baseline,1,10,0.3346868131868132,0.02604849441145748,0.027108813431500508
starcoderplus,folio,baseline,2,1,0.3530934065934066,0.021015913229352277,0.021871378123739977
starcoderplus,folio,baseline,2,2,0.35330769230769227,0.019951029892435846,0.020763148095132883
starcoderplus,folio,baseline,2,3,0.3561758241758241,0.02370993655950174,0.024675063230584708
starcoderplus,folio,baseline,2,4,0.35742857142857143,0.024872149840750816,0.025884585075161455
starcoderplus,folio,baseline,2,5,0.3582087912087912,0.024473914012542952,0.025470138827401453
starcoderplus,folio,baseline,2,6,0.358098901098901,0.024736092871442333,0.025742989828281597
starcoderplus,folio,baseline,2,7,0.3596923076923077,0.025506997697298844,0.026545274780627837
starcoderplus,folio,baseline,2,8,0.35902197802197805,0.024745435004386848,0.02575271223814701
starcoderplus,folio,baseline,2,9,0.36106043956043954,0.024770795093790456,0.025779104624646946
starcoderplus,folio,baseline,2,10,0.36082417582417575,0.024834374683530693,0.025845272258334107
starcoderplus,folio,baseline,4,1,0.3667197802197802,0.038155355451359785,0.03970849124733055
starcoderplus,folio,baseline,4,2,0.36533516483516487,0.03785547572845574,0.039396404746986795
starcoderplus,folio,baseline,4,3,0.3694725274725275,0.03551952984433036,0.036965372835561505
starcoderplus,folio,baseline,4,4,0.37458791208791203,0.03478433173616539,0.03620024806348754
starcoderplus,folio,baseline,4,5,0.3738406593406594,0.03597012296903416,0.03743430761383181
starcoderplus,folio,baseline,4,6,0.37724725274725274,0.03492220510464436,0.03634373364711594
starcoderplus,folio,baseline,4,7,0.37932967032967035,0.03418737481921278,0.035578991670212314
starcoderplus,folio,baseline,4,8,0.38041758241758244,0.03358590540543982,0.03495303909632561
starcoderplus,folio,baseline,4,9,0.38321978021978026,0.033581042129936116,0.03494797785838174
starcoderplus,folio,baseline,4,10,0.3833516483516484,0.033187495444555334,0.03453841162771774
starcoderplus,folio,baseline,8,1,0.344076923076923,0.031458678808982336,0.03273922251180444
starcoderplus,folio,baseline,8,2,0.34486263736263734,0.029123872435834097,0.0303093764958092
starcoderplus,folio,baseline,8,3,0.3466263736263736,0.02898298473550023,0.030162753880205593
starcoderplus,folio,baseline,8,4,0.34733516483516486,0.026155678553409792,0.027220360565899288
starcoderplus,folio,baseline,8,5,0.34732417582417585,0.02659001828836859,0.027672380350801187
starcoderplus,folio,baseline,8,6,0.3485824175824176,0.025466683853125904,0.026503319938127993
starcoderplus,folio,baseline,8,7,0.3471428571428571,0.02372812233189588,0.024693989265354828
starcoderplus,folio,baseline,8,8,0.3481153846153846,0.02501753460669871,0.026035887812034045
starcoderplus,folio,baseline,8,9,0.3466868131868132,0.024103031645932343,0.025084159479702262
starcoderplus,folio,baseline,8,10,0.3474340659340659,0.022657565267632403,0.023579854557049827
starcoderplus,folio,scratchpad,1,1,0.33078021978021976,0.02473577066599641,0.025742654507276776
starcoderplus,folio,scratchpad,1,2,0.3347802197802197,0.023167730807196894,0.02411078667975829
starcoderplus,folio,scratchpad,1,3,0.3380054945054945,0.022554065649223954,0.02347214192685528
starcoderplus,folio,scratchpad,1,4,0.3364395604395604,0.02072687115849304,0.021570570428331253
starcoderplus,folio,scratchpad,1,5,0.3372362637362637,0.02012284981436805,0.020941962046292624
starcoderplus,folio,scratchpad,1,6,0.33700549450549444,0.01964758261764188,0.020447348823637614
starcoderplus,folio,scratchpad,1,7,0.33791758241758235,0.018081848255201007,0.01881788033903954
starcoderplus,folio,scratchpad,1,8,0.33764835164835166,0.01734706493202313,0.018053187236015303
starcoderplus,folio,scratchpad,1,9,0.33711538461538454,0.017030286035016814,0.017723513670920364
starcoderplus,folio,scratchpad,1,10,0.33733516483516485,0.015813273678827313,0.016456962123385988
starcoderplus,folio,scratchpad,2,1,0.3440934065934066,0.019242049282038404,0.02002530801922578
starcoderplus,folio,scratchpad,2,2,0.3438901098901099,0.019634887340381157,0.020434136777778614
starcoderplus,folio,scratchpad,2,3,0.347010989010989,0.01620801264660234,0.016867769168988186
starcoderplus,folio,scratchpad,2,4,0.34724725274725265,0.016636106003031146,0.01731328831291187
starcoderplus,folio,scratchpad,2,5,0.34871978021978023,0.014571228638013117,0.015164358921331342
starcoderplus,folio,scratchpad,2,6,0.34936263736263734,0.015008092652533198,0.015619005738053006
starcoderplus,folio,scratchpad,2,7,0.34921978021978023,0.013573359296751858,0.014125870731804067
starcoderplus,folio,scratchpad,2,8,0.3499010989010989,0.013276794649853374,0.013817234249550657
starcoderplus,folio,scratchpad,2,9,0.3494999999999999,0.013180079553683286,0.013716582309493373
starcoderplus,folio,scratchpad,2,10,0.35220879120879117,0.012751036763102581,0.013270075084151903
starcoderplus,folio,scratchpad,4,1,0.33590109890109887,0.04037472555886453,0.042018202097771566
starcoderplus,folio,scratchpad,4,2,0.3336098901098901,0.038656847513458506,0.040230396833660066
starcoderplus,folio,scratchpad,4,3,0.3391648351648351,0.029813460220794834,0.0310270343501119
starcoderplus,folio,scratchpad,4,4,0.3386703296703296,0.027841996879583268,0.028975321454166578
starcoderplus,folio,scratchpad,4,5,0.33879670329670325,0.024782643457410047,0.025791435282755567
starcoderplus,folio,scratchpad,4,6,0.3387252747252747,0.022613141848873218,0.023533622857355028
starcoderplus,folio,scratchpad,4,7,0.33803296703296704,0.02155325517965934,0.022430592888697205
starcoderplus,folio,scratchpad,4,8,0.33952747252747245,0.020886034135989502,0.021736212226816765
starcoderplus,folio,scratchpad,4,9,0.33830769230769225,0.018573392184375842,0.01932943284794486
starcoderplus,folio,scratchpad,4,10,0.3388571428571428,0.017281434818129666,0.017984885610404133
starcoderplus,folio,scratchpad,8,1,0.3258296703296703,0.015829897279155514,0.016474262396973346
starcoderplus,folio,scratchpad,8,2,0.3243296703296703,0.01569853971735385,0.016337557849698946
starcoderplus,folio,scratchpad,8,3,0.32686813186813185,0.020751416861871094,0.021596115278751778
starcoderplus,folio,scratchpad,8,4,0.3271373626373626,0.02075038318602488,0.02159503952653282
starcoderplus,folio,scratchpad,8,5,0.3267362637362637,0.021205405981613912,0.022068584288001923
starcoderplus,folio,scratchpad,8,6,0.3267692307692307,0.02082933335186477,0.02167720340450337
starcoderplus,folio,scratchpad,8,7,0.32752197802197797,0.022074047778234584,0.022972584650995477
starcoderplus,folio,scratchpad,8,8,0.32706043956043956,0.021128767066010804,0.021988825741044854
starcoderplus,folio,scratchpad,8,9,0.32641758241758234,0.020037653240777907,0.02085329749693416
starcoderplus,folio,scratchpad,8,10,0.32546703296703294,0.02020587120147873,0.021028362866948803
starcoderplus,folio,cot,1,1,0.20793406593406594,0.027289314354476683,0.028400141667446355
starcoderplus,folio,cot,1,2,0.2832087912087911,0.03472512866849239,0.03613863510072782
starcoderplus,folio,cot,1,3,0.3133296703296703,0.03026336716797917,0.03149525501961023
starcoderplus,folio,cot,1,4,0.32975824175824175,0.02896378110446992,0.030142768554275237
starcoderplus,folio,cot,1,5,0.3376263736263736,0.02632854205144607,0.027400260572531563
starcoderplus,folio,cot,1,6,0.3419890109890109,0.024145482958538036,0.02512833879752279
starcoderplus,folio,cot,1,7,0.34338461538461534,0.023353900343899586,0.024304534355051272
starcoderplus,folio,cot,1,8,0.34563186813186814,0.022516732229304445,0.02343328882850067
starcoderplus,folio,cot,1,9,0.3465384615384615,0.022829058718880593,0.023758328748347674
starcoderplus,folio,cot,1,10,0.3472417582417582,0.02360259217126874,0.02456334932698777
starcoderplus,folio,cot,2,1,0.40498351648351655,0.026994271756133812,0.0280930891896147
starcoderplus,folio,cot,2,2,0.40800000000000014,0.02606647146565345,0.02712752225207757
starcoderplus,folio,cot,2,3,0.40995604395604407,0.021279742392706816,0.022145946605671943
starcoderplus,folio,cot,2,4,0.4112307692307694,0.02107604072910463,0.02193395314812113
starcoderplus,folio,cot,2,5,0.40960439560439565,0.018897980831488474,0.019667234063537927
starcoderplus,folio,cot,2,6,0.40978571428571436,0.017706839128258323,0.01842760624884385
starcoderplus,folio,cot,2,7,0.41094505494505507,0.017572744591942947,0.01828805331692629
starcoderplus,folio,cot,2,8,0.41057692307692323,0.016668716916924443,0.017347226672903043
starcoderplus,folio,cot,2,9,0.4108461538461539,0.015895105836907075,0.016542125306756215
starcoderplus,folio,cot,2,10,0.4106208791208792,0.01561417334120933,0.016249757291452952
starcoderplus,folio,cot,4,1,0.3672747252747253,0.02486144675675147,0.02587344631594195
starcoderplus,folio,cot,4,2,0.37265384615384617,0.0260091986505294,0.027067918113912414
starcoderplus,folio,cot,4,3,0.3713736263736264,0.022889017821200296,0.023820728520581348
starcoderplus,folio,cot,4,4,0.3714065934065934,0.02240437016386131,0.023316353000242734
starcoderplus,folio,cot,4,5,0.36901098901098894,0.021260541543806015,0.02212596417511928
starcoderplus,folio,cot,4,6,0.3697197802197802,0.020781639847805983,0.021627568508796866
