model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
gpt-4-0613,proofwriter,baseline,8,0.9326333333333332,0.03259275652315675,0.013847562993363361,0
gpt-4-0613,proofwriter,scratchpad,8,0.9649499999999999,0.02257328189598392,0.009590626150307304,0
gpt-4-0613,proofwriter,cot,8,0.9841499999999999,0.01647050393885992,0.0069977616242356405,0
gpt-4-0613,proofwriter,neurosymbolic,8,1.0,0.0,0.0,0
