model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
gpt-3.5-turbo-16k-0613,proofwriter,baseline,8,0.31381666666666663,0.057377306295937056,0.02437768228526436,0
gpt-3.5-turbo-16k-0613,proofwriter,scratchpad,8,0.28706666666666664,0.05719320083910518,0.0242994620859667,0
gpt-3.5-turbo-16k-0613,proofwriter,cot,8,0.3646333333333333,0.06199712358919028,0.026340486840954552,0
gpt-3.5-turbo-16k-0613,proofwriter,neurosymbolic,8,0.94925,0.028756520999592416,0.012217675903813495,0
