model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
gpt-3.5-turbo-16k-0613,proofwriter,baseline,8,0.3847166666666667,0.06286252858420509,0.026708168235890405,0
gpt-3.5-turbo-16k-0613,proofwriter,scratchpad,8,0.3503833333333333,0.06303541993725963,0.026781623940710268,0
gpt-3.5-turbo-16k-0613,proofwriter,cot,8,0.4021833333333334,0.06427337231613796,0.027307588154173525,0
gpt-3.5-turbo-16k-0613,proofwriter,neurosymbolic,8,0.93355,0.031853968006792764,0.013533676669822267,1
